Nom cours,Discipline Ia,Discipline IIa,Description cours,Video,,,,,
Hatha Yoga,Yoga,,"Discipline indienne millénaire et art de vivre qui s’adresse à tous. Le Hatha Yoga développe la force, la souplesse et l’équilibre tout en procurant un sentiment général de bien-être.",,,,,,
Tennis de Table,Tennis de table,,,,,,,,
Capoeira,Combat / Arts martiaux,,"Entre art martial et danse africaine, plus qu'un jeu de jambes, ce sport national brésilien véhicule les valeurs de solidarité, d'amitié, d'humilité et de joie de vivre ainsi que l'histoire de la libéraiton du peuple brésilien.",,,,,,
Danse rythmique,Instruments,,,,,,,,
Escrime,Escrime,,,,,,,,
Eveil aquatique,Natation,Sport éveil,,,,,,,
LIA (Low Impact Aerobic),Danse Fitness / Step,Danse Fitness / Fitness,"Le Low Impact Aérobic est l'activité idéale pour ceux qui souhaitent débuter une remise en forme en douceur et en rythme ! Technique de remise en forme tonique basée sur l'apprentissage d'une chorégraphie cadencée. Excellent cours pour tester vos capacités de mémorisation et de coordination. Le LIA ou Low Impact Aérobic est également nommé ""aérobic à impact modéré"".

Le LIA se caractérise par des mouvements gymniques des pieds et des bras selon une chorégraphie réalisée sur une musique très rythmée. Le rythme est soutenu car non-stop mais il n'y a ni sauts ni courses d'où le terme ""Low Impact Aérobic"". Le LIA est pratiqué avec un pied toujours rivé au sol. Cette activité utilise des styles de musique variés: il peut s'agir de LIA Funk, LIA Salsa, LIA Latino...

Comme toute technique dérivée de l'aérobic, le LIA a pour vocation de développer endurance et capacité d'oxygénation. Une séance de Low Impact Aérobic dure entre 45 minutes et une heure.

Les bienfaits du LIA :
- L'endurance et le souffle sont les bénéfices qui résultent de la pratique du LIA ;
- Les capacités de coordination sont développées grâce aux mouvements des bras mais aussi des déplacements réalisés selon une chorégraphie ;
- Les efforts soutenus pendant le LIA sont efficaces tant au niveau de la musculation que de l'assouplissement du corps.",http://www.youtube.com/watch?v=TiJfSFKOPDY,,,,,
Travail de textes,Texte / Interprétation,,"Venez découvrir les ficelles du travail de texte et de son interprétation. Vous apprendrez les fondamentaux du théâtre (articulation, projection de voix, respiration), mais également à jouer un personnage d'œuvres diverses. Le tout dans une ambiance détendue !",,,,,,
Danse éveil,Danse petite enfance,Danse éveil,"C'est un cours d'éveil corporel à la danse, aux mouvements et à la musique. Basé sur des exercices jouant sur l'imaginaire, sur l'espace proche et lointain, et surtout basé sur la découverte de son corps en mouvements dansés. Le cours s’accompagne de jeu d’écoute, d’improvisation, de relaxation pour privilégier son expression. Ludique et en musique, cette activité sensibilisera votre enfant à la danse, au rythme et aux mouvements.",,,,,,
Danse initiation,Danse petite enfance,Danse éveil,"Si l'éveil est une période d'accumulation d'éléments fondateurs, l'initiation conduit à une structuration du corps qui se situe dans l'espace, le temps, et avec ses dynamiques.",,,,,,
Baby Dance,Danse petite enfance,Danse éveil,"L'objectif de ce cours est l'épanouissement corporel des enfants au sein d'un groupe. Il s'agit de mobiliser leur élan physique spontané, pour les encourager à découvrir de nouvelles possibilités de mouvement; au moyen de jeux de rythme, d'expression, d'écoute...",,,,,,
Hip Hop Latino,Hip Hop / Dancehall,Danses du monde,Zumba influences Hip Hop.,,,,,,
Atelier Musical,Technique musicale / instrumentale,,,,,,,,
Salsa portoricaine (spécial Lady Styling Salsa),Danses du monde,Danses de couple,"La lady styling salsa est une danse axée sur le bouger, la féminité et la sensualité. C'est une fusion entre le jazz, la salsa et d'autres danses.",,,,,,
Hip Hop (spécial Waacking),Hip Hop / Dancehall,,"Comme le locking, le wacking insiste sur les expressions ou caractères et le jeu sur les accents de la musique. Le lofting, lui est un style de danse jazz et technique au sol.",,,,,,
Atelier d'Art : illustration et recyclage,Arts plastiques,Recyclage,,,,,,,
Wu Dao (art martial vietnamien),Combat / Arts martiaux,,"Maitrise du corps et de l'esprit, respiration, équilibre, assouplissement, self défense, armes.
Une discipline physique pour transpirer, se dépasser, se perfectionner, se rencontrer mais aussi pour atteindre la sérénité. ",,,,,,
Flûte à bec,Instruments,,"Facile à apprendre, à emporter, à jouer en groupe, la flûte à bec est l'instrument idéal pour les jeunes enfants. Elle ouvre aussi tout le répertoire baroque et se décline sous ses différentes formes : flûte soprano, alto, ténor, basse, piccolo, flageolet, mélodica, etc.",,,,,,
Ensembles instrumentaux,Ensembles instrumentaux,Instruments,"Les cours d'ensemble permettent de mettre en pratique l'apprentissage de cours particuliers, de fréquenter d'Instrument et instrumentalistes, et de découvrir d'autres répertoires. La musique d'ensemble est souvent source de plaisir et de progrès.",,,,,,
Atelier de musique actuelle,Culture musicale,Technique musicale / instrumentale,"Atelier de découverte et de pratique de musique jazz, rock, funk, soul, reggae, etc.",,,,,,
Le déchiffrage,Technique vocale / musicale,Technique musicale / instrumentale,"Comment aborder une partition inconnue et… s'en sortir le mieux possible pour une première lecture. A l'instrument ou à la voix, le déchiffrage est indispensable à la formation du musicien. Un cours pour développer la lecture à vue et les réflexes, accompagné au piano. En outre, ce cours permet de découvrir un large éventail de répertoires de musiques.",,,,,,
Biodanza,Contemporaine / Moderne,Danse relaxation,"La Biodanza (éthymologiquement : ""Danse de la Vie"") est un chemin d'épanouissement et de réhabilitation existentielle de l'être humain basé sur le plaisir, la musique, la danse, et des situations dansées de rencontre au sein d'un groupe bienveillant. La Biodanza est accessible à tous : aucune connaissance de la danse ou aptitude physique particulière n'est requise. Sa méthodologie, précise et progressive, propose des danses simples (seul, à 2, en groupe, etc.) que l'on réalise à partir du mouvement naissant de l'unité musique / émotion, et de quelques consignes. Dans un plein vécu de l'instant présent, où l'on respecte ses possibilités de l'instant. ",https://www.youtube.com/watch?v=BQppqIM4Zlk,,,,,
Set Dancing (quadrilles),Danses du monde,,"Le set dancing est la forme de danse la plus populaire en Irlande. Elle se danse lors des bals (les Ceili) ou dans les pubs (lorsqu’il y a de la place !). Danse de quadrille, le set dancing se danse par groupes de 4 couples se faisant face.",,,,,,
Step Dancing Moderne (danse solo),Danses du monde,,"Le step dancing est la forme moderne de la danse irlandaise. Dansé le corps droit, le step peut se pratiquer en soft shoes (ballerines) ou en hard shoes (claquettes).",,,,,,
Step Dancing Old Style,Danses du monde,,Ce cours enseigne la forme ancienne du step dancing irlandais à des débutants. Il est composé de 6 cours d’une heure répartis dans l’année. Un stage de fin d’année le complètera.,,,,,,
Tin Whistle,Instruments du monde,Instruments,"Ce cours travail de l’embouchure, le son, l’ornementation, ainsi que le répertoire irlandais.",,,,,,
Fiddle (violon),Instruments du monde,Instruments,,,,,,,
"Flûte (traversière en bois, musique irlandaise)",Instruments du monde,Instruments,,,,,,,
Bodhrán (percussion irlandaise),Instruments du monde,Instruments,"Le cours donne les bases puis certaines subtilités d’utilisation de l’instrument, et surtout aborde son approche traditionnelle de l’accompagnement en général. Celle-ci est assez originale pour permettre rapidement d’utiliser le bodhran de façon personnelle, pour le répertoire de son choix.",,,,,,
Guitare (musique irlandaise),Instruments du monde,Instruments,"Le cours donne les bases puis certaines subtilités d’utilisation de l’instrument, et surtout aborde son approche traditionnelle de l’accompagnement en général. Celle-ci est assez originale pour permettre rapidement d’utiliser le bodhran de façon personnelle, pour le répertoire de son choix.",,,,,,
Bouzouki (musique irlandaise),Instruments du monde,Instruments,"Le cours de guitare / bouzouki traite de la construction harmonique et bien sûr de la rythmique adaptée aux différents styles, l’ambition étant de développer le style personnel de chacun.",,,,,,
Accordéon (musique irlandaise),Instruments du monde,Instruments,,,,,,,
Banjo / Mandoline (musique irlandaise),Instruments du monde,Instruments,"Cet atelier est destiné aux débutants et aux avancés. A travers le répertoire traditionnel, il aborde les techniques fondamentales des instruments à plectres (mandoline, mandole banjo, bouzouki) accordés en GDAE, dans le but d’apprendre à jouer les mélodies dans le style traditionnel (rythme, accentuation, ornementations, etc.). Certains éléments d’accompagnements peuvent être abordés.",,,,,,
Musique d’ensemble (Atelier de Musique Irlandaise),Instruments du monde,Instruments,"C’est un atelier dont le but est d’apprendre un peu de répertoire, et surtout à le jouer correctement ensemble, que ce soit dans l’esprit d’une session (style, enchaînements, accompagnement cohérent) ou d’arrangements un peu plus élaborés.",,,,,,
Uilleann Pipes (cornemuse irlandaise),Instruments du monde,Instruments,,,,,,,
Aquarelle,Peinture,,,,,,,,
Arts du cirque,Cirque,,"À travers une rencontre ludique avec les différentes disciplines du cirque : jonglage, manipulation d’objets, acrobatie, portés, équilibre sur objets et clown. Explorer son corps et développer son habileté, prendre confiance en soi, apprendre à montrer et à regarder l’autre.",,,,,,
Arts plastiques,Arts plastiques,,"Saisir la complexité du réel exige d’éduquer le regard. Dans cet atelier, le but est de développer son imaginaire tout en acquérant les connaissances techniques du dessin et de la couleur.",,,,,,
Atelier DJ,Technique musicale / instrumentale,DJ / Mix,"Apprentissage de l’art du Mix et du Scratch. Tous styles : techno, house, électro et hip hop.",,,,,,
AVCI Wing Tsun,Combat / Arts martiaux,,"D’origine chinoise, cet art martial est un concept d’auto-défense réaliste, efficace et fonctionnel. Il renforce nos capacités de défense naturelles et instinctives.",,,,,,
Calligraphie,Calligraphie,,"Apprenez à manier la plume et faites connaissance avec les différents styles calligraphiques d’origine occidentale et arabe ainsi que l’enluminure. Cet atelier vous permettra de dessiner des lettres, des mots, des phrases puis des tableaux avec un matériel simple : plume pointue, plume à bout plat, calam, encre, peinture, etc.",,,,,,
Chorale pop-up,Chorale,,"Chorale simple harmonisant des tubes choisis, en anglais et français, accompagnés à la guitare. Répertoire pop : un peu de rock, un peu de variété, un peu de disco,
de rythm’n blues, etc.",,,,,,
Danse de société,Danses du monde,,"Apprenez et venez danser la valse, le tango, le cha-cha-cha, le paso-doble, le Rock & roll et la rumba tout en partageant le plaisir de danser en couple.",,,,,,
Danse Sévillane,Danses du monde,Danses de couple,"Voyager au cœur de Séville au rythme de sa danse colorée et pleine de soleil. La Sévillane se danse à deux, seul ou bien en groupe.",,,,,,
Encadrement,Encadrement,,"Tradition et création : maîtrise de toutes les techniques, des formes, des couleurs, etc. Réalisation d’encadrement sous verre, biseaux, boîtages, tableau à hausse, lavis, pêle-mêle, encollage de tissus, etc.",,,,,,
Eveil sportif,Sport éveil,,Exercices ludiques et variés pour éveiller l’enfant dans son rapport avec son corps et son environnement.,,,,,,
Gemmologie,Gemmologie,Gemmologie,"À l’aide d’instruments de base, apprendre à reconnaître des pierres naturelles et les différencier des imitations et synthèses les plus courantes.",,,,,,
Groupe vocal,Chorale,Chant,,,,,,,
Gym forme,Gym,,,,,,,,
Gymnastique rythmique,Gym,,"Activité sportive mêlée à la danse. Elle fait appel à la manipulation de cerceaux, rubans, massues et ballons.",,,,,,
Danse indienne (Bollywood),Danses du monde,,"La danse indienne Bollywood est ludique et très festive. Plusieurs chorégraphies sont apprises dans l’année permettant de développer la coordination, l’équilibre, le rythme et les expressions du visage.",,,,,,
Italien,Langues étrangère,,,,,,,,
Judo,Combat / Arts martiaux,,,,,,,,
Judo et Jujitsu,Combat / Arts martiaux,,,,,,,,
Jujitsu,Combat / Arts martiaux,,,,,,,,
Jujitsu Brésilien,Combat / Arts martiaux,,,,,,,,
Latin jazz,Jazz / Modern' Jazz,,"La danse jazz est riche en influences. Symbiose à la base de deux traditions, africaine et américaine. La danse jazz est une danse qui s’est nourrie  au cours du temps d’une palette de styles très variés : le ballet classique, la danse moderne, contemporaine, éthique, de société, et danse théâtrale, etc.",,,,,,
Modelage,Poterie / Modelage,,,,,,,,
Photo numérique,Photo,,"De la prise de vue à l’impression sur papier. Travail de la lumière, le cadrage et les techniques de la photographie.",,,,,,
Sport chanbara,Combat / Arts martiaux,,"Le « Chanbara » est une forme d'onomatopée japonaise qui exprime le bruit des sabres qui s'entrechoquent dans le combat des samourais. Le Sport Chanbara (スポーツチャンバラ) ou ""Spochan""1 consiste en un combat entre 2 participants avec des armes égales ou différentes, de façon libre mais possédant néanmoins des règles minimum.",http://www.youtube.com/watch?v=g8UV3OD_DkQ,,,,,
Stand Up,Comédie / Humour,Comédie / Humour,Vous voulez faire de l’humour ? Venez découvrir et développer votre créativité sur scène.,,,,,,
Stretching,Etirements,Stretching / Etirements,"Étirements musculaires, travail de l’élasticité des muscles et la mobilité des articulations. Il permet également d’évacuer le stress.",,,,,,
Taekwondo,Combat / Arts martiaux,,"Un sport et art martial d’origine sud-coréenne, plein d’énergie, de contrôle et de vitalité. Il utilise la technique des pieds et des poings.",,,,,,
Tai chi chuan,Relaxation / Gym douce,Combat / Arts martiaux,"D’origine chinoise, le Tai Chi Chuan est un ""art martial pacifique"" qui possède un fort effet thérapeutique et renforcerait même nos défenses immunitaires ! Il favorise l’écoute du corps, l’observation et le lâcher prise. Il se compose d’un enchaînement lent, calme, et harmonieux des gestes. il s'agit de l'essence de la pensée, des théories énergétiques et de la médecine chinoises classiques incarnées dans un art martial de haut niveau. C'est aussi une méditation en mouvement faite de gestes très précis et associés à la maîtrise respiratoire. Sa pratique offre de grands bénéfices : meilleures capacités cognitives, diminution du stress et des tensions musculaires, bonne santé nerveuse et psychologique, meilleure circulation sanguine, récupération plus rapide après une maladie ou un accident, bref une impression marquée de mieux-être.

Il s'agit à la fois d'une pratique de santé, d'autodéfense, de méditation, d'une façon de vivre, d'une possibilité d'ouverture sur soi et de la célébration de l'énergie vitale (Chi) en nous…

Grâce à des mouvements lents et fluides, le Tai Chi augmente la force et le tonus musculaires, améliore la souplesse et la portée de nos mouvements de même que l'équilibre et la coordination. Les praticiens de la médecine chinoise traditionnelle estiment que même si les mouvements sont d'intensité réduite, ils permettent malgré tout de faire disparaître les blocages énergétiques - du Chi - souvent d'ailleurs le résultat de déséquilibres psychosomatiques et de rétablir le flux naturel de notre force vitale.

Tous les mouvements se font en opposition, gauche - droite, haut - bas, céder - projeter, montrant ainsi le souci de mettre en équilibre les forces du Yin et du Yang.",https://www.youtube.com/watch?v=_ZtbPPnm8c0,,,,,
Taïso self défense,Combat / Arts martiaux,,,,,,,,
Improvisation,Impro,,"Entre sport et théâtre, le match d’improvisation est une nouvelle façon d’aborder la scène. Stimulant et ludique pour toutes les personnes qui souhaitent développer leurs talents d’artiste sur scène. L’apprentissage du jeu théâtral se fait par des jeux dynamiques permettant de développer la créativité et l’expression orale et corporelle.",,,,,,
Théâtre,Théâtre,,"Etre à l’écoute de soi, de l’autre, libérer ses émotions, jouer avec, se détendre, inventer,
imaginer avec la découverte des textes, etc. Différentes techniques d’expression orales, respiration, voix, utilisation de l’espace, rythme, diction, improvisation et masques sont abordées et développées dans ces cours et se poursuivent dans la plupart des structures d'enseignement jusqu’à la création d’un spectacle.",,,,,,
Couture,Couture,,"Une autre manière d’appréhender la « mode », à travers la mise en œuvre de sa propre capacité créatrice. Au gré de votre fantaisie, créez « vos patrons », « vos modèles », apprenez à transformer, recycler vos vêtements.",,,,,,
Abdos cuisses fessiers,Renforcement musculaire,Stretching / Etirements,"Sollicitation en profondeur de la sangle abdominale et des muscles fessiers, ciblant en particulier les cuisses, la culotte de cheval, les hanches, le ventre et la taille.",,,,,,
Fitness,Renforcement musculaire,Danse Fitness / Fitness,"Travail de renforcement musculaire et d’assouplissement. Idéal pour acquérir, entretenir ou améliorer un certain niveau physique.",,,,,,
Gym douce,Etirements,Relaxation / Gym douce,"Redécouvrez votre corps grâce à des exercices de respiration, d’étirements et de détente.",,,,,,
Ludo' nature,Atelier création / Découverte,Observations / Nature,,,,,,,
Jeunes pousses nature,Atelier création / Découverte,Observations / Nature,,,,,,,
Plongée sous-marine,Atelier création / Découverte,Observations / Nature,Le grand bleu dans la ville. Activités subaquatiques et sensibilisation au milieu marin.,,,,,,
Jardinage écologique,Observations / Nature,Écologie,Main verte et nature urbaine. Apprendre à créer un petit jardin potager de manière biologique pour produire des légumes savoureux et un environnement fleuri et poétique.,,,,,,
Cap nature,Observations / Nature,Écologie,,,,,,,
Ludo sciences,Atelier création / Découverte,Observations / Nature,,,,,,,
Explo'sciences,Atelier création / Découverte,Observations / Nature,,,,,,,
Robotique,Sciences,Robotique,"Et les objets prennent vie ! Penser, dessiner et créer des engins guidés ou autonomes et des objets mécaniques. Participation à des trophées de robotiques.",,,,,,
Voyageurs du temps,Archéologie,,"Archéologues en herbe, Préhistoires, Pharaons, Mayas, Romains, Moyen-âge et grands explorateurs, etc. Aventures extraordinaires et découvertes étonnantes à travers le temps !",,,,,,
Les p'tits détectives,Atelier création / Découverte,Observations / Nature,"L’art de coder et décrypter à travers les époques. Tout sur les mystérieuses écritures anciennes et les fascinants codes secrets qui ont changé le cours de l’histoire ! Énigmes, matériaux et techniques d’époque, fabrication d’encre invisible et déchiffrage de codes secrets.",,,,,,
Astronomie,Observations / Nature,Atelier création / Découverte,"Plus près des étoiles ! À la découverte du ciel et de la diversité des astres qui composent l’univers : histoire de l’astronomie, constructions, manipulations d’instruments, observation du ciel.",,,,,,
Observatoire des saisons,Observations / Nature,Atelier création / Découverte,"La science participative. Suivi de la nature ordinaire à travers des groupes indicateurs de biodiversité et du climat (identification, photo, récoltes de données).",,,,,,
La fabrique,Divers,Recyclage,"Bricoler, imaginer et construire soi-même. Constructions de maquettes, d’objets divers : dessiner des plans, utiliser des outils, travailler des matériaux.",,,,,,
Cuisine et pâtisserie,Cuisine,Pâtisserie / Boulangerie,"Se régaler en cuisinant. Cuisine ludique de saison, pâtisseries, plats simples, confiseries. Découvertes gustatives, origines des aliments et recettes thématiques (Halloween, Noël, nouvel an chinois, Pâques...).",,,,,,
Cuisine du monde,Cuisines du monde,,"Recettes et saveurs d’ici et d’ailleurs. Découvrir la gastronomie mondiale (italienne, espagnole, indienne, asiatique, afro américaine, mexicaine, maghrébine, libanaise, etc.).",,,,,,
Cuisine du marché,Cuisine,,"Gastronomie du quotidien. Élaborer des recettes simples du quotidien et d’autres plus élaborées pour recevoir, en utilisant des légumes et fruits de saison.",,,,,,
Atelier magie,Magie,,"Le laboratoire de magie scientifique. Apprendre les ficelles de la magie en lien avec les phénomènes naturels. Manipulations, tours, illusions et mise en scène.",,,,,,
Couture créative,Couture,,"Formes et matières. Apprentissage des techniques de couture pour toutes les idées textiles (vêtement, déco, ameublement). Création de maquettes, coupe, montage, finitions, recyclage et customisation, etc.",,,,,,
Création d'expos,Observations / Nature,Atelier création / Découverte,"Une expo de A à Z. Réalisation d’expositions autour des sciences
et de l’environnement. Scénographie, muséographie, création de maquettes et d’outils pédagogiques. ",,,,,,
Photo,Photo,,"Prise de vue numérique, techniques photographiques, construction d’image et réalisation d’un portfolio.",,,,,,
Film d'animation,Cinéma / Animation,,"Le tournage miniature : inventer des histoires, des personnages et des décors pour tourner des films image par image.",,,,,,
Cinéma et animation,Cinéma / Animation,,"Le cinéma ré-inventé : analyse et histoire du cinéma, techniques de prise de vue, de montage et réalisation de film d’animation.",,,,,,
Vidéo,Vidéo,,Devenir vidéaste : toutes les techniques de prises de vues et de montage vidéo avec les outils modernes. Initiation à la réalisation de films.,,,,,,
Art et sens,Observations / Nature,Atelier création / Découverte,"Création, matières et découvertes : éveil artistique et sensoriel, développement de la créativité et appréhension des matières. Dessins, peintures et sculptures.",,,,,,
Les inventeurs d'histoires,"Création (composition, écriture)",Lecture / Contes,"Inventer et faire vivre ses propres histoires : écriture et imaginaire. Création de contes et ""mise en vie"" : illustration, création de livres, de marionnettes ou de pièces jouées par les participants.",,,,,,
BD / Mangas,L'art d'écrire,Dessin,"Bulles, planches et création : du scénario à la réalisation graphique, toutes les techniques de dessin pour la création de bandes dessinées et mangas.",,,,,,
Dessin-illustration,Dessin,,"Trouver son style graphique : apprendre les techniques de dessin pour illustrer, croquer et reproduire à sa manière.",,,,,,
Dessin naturaliste,Dessin,Observations / Nature,"La nature comme modèle. Dessin zoologique et botanique : proportions, lumière, volume et couleur.",,,,,,
Ragga,Hip Hop / Dancehall,,Réveillez la féminité qui est en vous sur des musiques 100% ragga ! Dynamisme et féminité seront toujours au rendez-vous.,,,,,,
Samba,Danses du monde,,"La samba est un mélange de cultures africaine et amérindienne. En utilisant votre corps comme moyen d’expression artistique, vivez le moment présent dans une ambiance de rêve et de carnaval.",,,,,,
Peinture-modelage,Poterie / Modelage,Peinture,"Modeler, travailler la matière et lui donner forme, volume, sens à partir des techniques de la terre. Peindre, mélanger les couleurs et s’exprimer sur différents thèmes en s’appuyant sur des peintres connus.",,,,,,
Dessin initiation,Peinture,,"Apprentissage du dessin : ce cours innovant s’adresse à tout public débutant et initié, toute personne sensible et créative, désireuse de découvrir le monde de la création à travers l’apprentissage des techniques du dessin et de la couleur, en passant par l’étude du graphisme et l’illustration.",,,,,,
Bande dessinée initiation,Peinture,"Création (composition, écriture)","Art complexe et passionnant, la BD fait partie de nos vies depuis notre enfance. Cet atelier propose à chacun de devenir scénariste et inventeur d’histoire illustrée (en couleurs ou en N&B), avec des personnages et des décors.",,,,,,
Cuisine,Cuisine,,Redécouvrez les ingrédients de tous les jours et préparez des plats originaux et accessibles.,,,,,,
Pâtisserie,Pâtisserie / Boulangerie,,"Apprenez à réaliser des mille-feuilles, éclairs au chocolat, tartes aux pommes et fraisiers comme chez le pâtissier.",,,,,,
"Composition musicale electro rock ""nouveau""",DJ / Mix,Technique musicale / instrumentale,"Une DJ, un prof de chant compositeur... un mix de vinyles passe, les inscrits jouent à improviser, au micro, des mélodies sur des débuts de textes. Peu à peu en ajoutant refrain, guitares et rythmes, une chanson se construit. Dépôt des morceaux sur internet, et auprès d’une société d’auteurs compositeurs.",,,,,,
Atelier clavier / piano,Instruments,Solfège,"Abord et pratique du clavier, pour harmoniser des mélodies, commencer à composer. Initiation à l’harmonie pop, le chiffrage des accords jazz ainsi qu’au solfège pour les non pianistes.",,,,,,
Atelier d'orchestre,Ensembles instrumentaux,Technique musicale / instrumentale,"Ludique et musical. L’écoute, le rythme, le phrasé, l’improvisation seront abordés sur des musiques de jazz, rock, latines… le tout en swing !",,,,,,
Qi Gong Chinois,Relaxation / Gym douce,,"Force, équilibre, détente, harmonie intérieure et une meilleure circulation de l’énergie. Il favorise l’équilibre fonctionnel des organes et l’apaisement dese ́motions et du stress. Il est aussi une éducation à la conscience de soi et apporte un épanouissement personnel.",,,,,,
Gym tonic,Etirements,Stretching / Etirements,"Programme dynamique et complet favorisant un travail approfondi du corps : assouplissement, travail du dos et des abdo-fessiers, travail des jambes, étirements, etc.",,,,,,
Ecriture,Ecriture,,Vous avez des difficultés à écrire en français ? Ce cours vous apprendra à rédiger vos documents administratifs ou autres.,,,,,,
Danse country,Danses du monde,,,,,,,,
Modern' Street,Street / Break,,,,,,,,
Ragg'Afro,Hip Hop / Dancehall,Danses du monde,"Initiation aux danse afro-caribéennes, traditionnelles (Afrique de l'Ouest), et populaires (coupé dacalé de la Côte d'Ivoire, N'Dombolo du Congo, Kuduru de l'Angola et le Ragga dancehall des Caraïbes).",,,,,,
Arts plastiques (5 thèmes),Arts plastiques,,"Découverte ludique du travail en volume sur divers matériaux (papier, sable, terre, fil de fer, tissus, coton, terre, plâtre, carton, bois, pierre, verre, etc. ) grâce à différentes techniques (dessin, peinture, collage, etc.), découverte de l'espace bi et tri-dimensionnel, travail de l'imaginaire, de la créativité, de l'expressivité, travail sur la couleur, créations individuelles et collectives.",,,,,,
Calligraphie chinoise,Calligraphie,,"La calligraphie chinoise est la base de l'art chinois, la beauté visuelle des idéogrammes, la technique sur laquelle elle s'appuie et les enjeux plastiques qui y sont liés incarnent l'ensemble des préceptes de spontanéité et de vacuité qu’elle inspire. Cest un art majeur ou chaque signe représente une idée et la langue écrite peut être lue dans toutes les langues de la Chine. A travers son enseignement, les idéogrammes révèlent tous leur secrets, dévoilent la richesse et la profondeur de la pensée chinoise.",,,,,,
Danses de couple,Danses du monde,Danses de couple,"Plusieurs danses de couple à apprendre : Salsa, Tango, Lindy Hop, Balboa, etc.",,,,,,
Balboa,Danses du monde,,"Balboa est apparu en Californie dans les années 1920. Les diverses théories sur les origines du Balboa ne font pas consensus, et loin s’en faut. Certains affirment que le Balboa dérive du Foxtrot, alors que d’autres pensent qu’il est une évolution du Charleston ou du Collegiate Shag de la Nouvelles Orléans, qui se pratiquent aussi en huit temps. D’autres encore, comme Willie Desatof, danseur de Balboa de grande distinction, soutiennent qu’il provient de la Rumba. Bien qu’on ne puisse être sûr des origines précises du Balboa, il est certain que les premiers danseurs ont dus être influencés par les autres danses du moment. Le Balboa tient son nom de la péninsule de Balboa à Newport Beach, située sur la côte californienne, au sud de Los Angeles. Le Balboa fut tout d’abord dansé dans une salle donnant sur la plage appelée le Pavillon.",,,,,,
Accordéon diatonique,Instruments,,Un accordéon diatonique est un accordéon bi-sonore : lorsqu’une touche côté droit est enfoncée la note obtenue n’est pas la même suivant que le musicien comprime ou étire le soufflet. Les touches côté gauche correspondent aux basses. L’accordéon diatonique est généralement plus petit que l’accordéon chromatique. Il est le plus utilisé des deux dans la musique dite traditionnelle en Bretagne et en France.,,,,,,
Bombarde,Instruments,,La bombarde est un hautbois primitif destiné au jeu de plein air. Un joueur de bombarde s’appelle un talabarder (prononcé « talabardeur »).,,,,,,
Cornemuse,Instruments du monde,Instruments,"La cornemuse d’écosse est une grande cornemuse à trois bourdons, utilisée en particulier dans les pipes bands et les bagadoù.",,,,,,
Breton,Instruments du monde,Instruments,"Le breton (ar brezhoneg) est une langue d’origine celtique, comme le gaélique (Irlande) et le gallois (pays de Galles). Elle est parlée surtout dans la partie ouest de la Bretagne.",,,,,,
Danse bretonne,Danses du monde,,"De même que le costume et la langue, la danse est un élément fort de l’identité bretonne, tant nationale que locale. Danses communautaires en ronde, en chaîne, par couples, danses très intériorisées et danses exhubérantes, danses de cérémonie et danses-jeu, toutes formes de danses se côtoient en Bretagne.",,,,,,
Kan ha diskan,Chant,,"Le kan ha diskan est une technique de chant avec tuilage utilisée uniquement dans une partie de la Bretagne pour accompagner la danse, et pour des chants en breton.",,,,,,
Contes,Lecture / Contes,,"Aux confins de terres embrumées, vivent des êtres étranges. Auréolés de mystère et inspirés par les vents du souvenir ils sont des passeurs d’histoires, des colporteurs de vérité… des conteurs. Que ce soient des récits de vie, des visions du troisième monde ou des légendes reculées provenant du fond des âges celtes, les conteurs les mettent en scène et leurs redonnent vie lors d’une veillée, au creux d’une cheminée. Alors, le temps d’un songe, laissez vous embarquer dans ces univers merveilleux où tout peut arriver et vous verrez, vous en reviendrez quelque peu différent.",,,,,,
Terre et céramique,Poterie / Modelage,Sculpture,"Atelier de poterie, de céramique et de sculpture sur terre.",,,,,,
Intensif Voix et Interprétation,Voix & scène,,"Objectif : découvrir ou développer et s'approprier, dans un laps de temps court (5 semaines), les outils du chanteur d'un point de vue vocal et scénique. Etre capable d'utiliser ces outils sur scène dans un contexte professionnel, le cas échéant, en complément de son métier de base.",,,,,,
"Techniques du chanteur ""session courte""",Voix & scène,,"Objectif : approfondir, perfectionner ou tout simplement aborder les techniques du chanteur. Contenu : technique vocale - formation musicale et rythme - corps, voix et scène (méthode Feldenkrais) - expression scénique.",,,,,,
Voulez-Vous Coacher avec Moi ?,Voix & scène,Entraînement vocal,"Objectif : finaliser, pour la scène, un projet artistique chanson déjà constitué. Développer les moyens techniques artistiques (voix, interprétation, texte, musique…) et professionnels (outils de communication, entourage, stratégie…) qui permettent à ce projet de s'épanouir dans le secteur du spectacle vivant et des musiques actuelles. Type d'action : entretenir et développer ses capacités artistiques et ses qualités d'interprète - le projet professionnel, la stratégie de carrière, la promotion de son art.",,,,,,
Chemins d'écriture,"Création (composition, écriture)",,"Objectif : maîtriser les techniques de déblocage de l'imaginaire, de relecture et de mise en forme de l'écriture. Trouver son propre chemin de création à travers le travail d'un groupe d'auteurs. Contenu : "" Chemins d'écriture"" est une méthode de travail autour de l'écriture de chansons se présentant plus comme un apprentissage de la maîtrise des moyens d'écriture que comme un atelier de formation proprement dit. Il s'agit d'une exploration des voies de l'écriture et d'une approche des différents moyens permettant de libérer l'expression.",,,,,,
